occurrenceID	taxonID
CT101741	T101741
CT101743	T101743
CT101745	T101745
CT101747	T101747
CT101752	T101752
CT101753	T101753
CT101754	T101754
CT101756	T101756
CT101762	T101762
CT101765	T101765
CT101768	T101768
CT101770	T101770
CT101773	T101773
CT101774	T101774
CT101775	T101775
CT101778	T101778
CT101780	T101780
CT101782	T101782
CT101783	T101783
CT101784	T101784
CT101790	T101790
CT101793	T101793
CT101795	T101795
CT101798	T101798
CT101799	T101799
CT101802	T101802
CT101805	T101805
CT101809	T101809
CT101812	T101812
CT101813	T101813
CT101818	T101818
CT101822	T101822
CT101826	T101826
CT101827	T101827
CT101830	T101830
CT101833	T101833
CT101838	T101838
CT101840	T101840
CT101843	T101843
CT101844	T101844
CT101845	T101845
CT101848	T101848
CT101849	T101849
CT101850	T101850
CT101852	T101852
CT101853	T101853
CT101855	T101855
CT101857	T101857
CT101860	T101860
CT101862	T101862
CT101863	T101863
CT101865	T101865
CT101866	T101866
CT101868	T101868
CT101870	T101870
CT101872	T101872
CT101874	T101874
CT101875	T101875
CT101877	T101877
CT101879	T101879
CT101880	T101880
CT101882	T101882
CT101884	T101884
CT101886	T101886
CT101888	T101888
CT101891	T101891
CT101894	T101894
CT101898	T101898
CT101900	T101900
CT101901	T101901
CT101902	T101902
CT101903	T101903
CT101905	T101905
CT101906	T101906
CT101908	T101908
CT101909	T101909
CT101911	T101911
CT101913	T101913
CT101914	T101914
CT101915	T101915
CT101916	T101916
CT101918	T101918
CT101920	T101920
CT101923	T101923
CT101924	T101924
CT101925	T101925
CT101927	T101927
CT101931	T101931
CT101934	T101934
CT101935	T101935
CT101936	T101936
CT101938	T101938
CT101939	T101939
CT101940	T101940
CT101943	T101943
CT101946	T101946
CT101949	T101949
CT101950	T101950
CT101953	T101953
CT101954	T101954
CT101956	T101956
CT101961	T101961
CT101963	T101963
CT101965	T101965
CT101967	T101967
CT101969	T101969
CT101970	T101970
CT101972	T101972
CT101973	T101973
CT101974	T101974
CT101977	T101977
CT101980	T101980
CT101983	T101983
CT101986	T101986
CT101988	T101988
CT101990	T101990
CT101991	T101991
CT101992	T101992
CT101995	T101995
CT101996	T101996
CT102000	T102000
CT102001	T102001
CT102002	T102002
CT102005	T102005
CT102007	T102007
CT102009	T102009
CT102010	T102010
CT102012	T102012
CT102013	T102013
CT102015	T102015
CT102016	T102016
CT102019	T102019
CT102020	T102020
CT102021	T102021
CT102023	T102023
CT102025	T102025
CT102026	T102026
CT102027	T102027
CT102029	T102029
CT102032	T102032
CT102034	T102034
CT102037	T102037
CT102040	T102040
CT102042	T102042
CT102046	T102046
CT102047	T102047
CT102051	T102051
CT102053	T102053
CT102054	T102054
CT102055	T102055
CT102056	T102056
CT102058	T102058
CT102059	T102059
CT102063	T102063
CT102065	T102065
CT102066	T102066
CT102069	T102069
CT102072	T102072
CT102077	T102077
CT102079	T102079
CT102081	T102081
CT102086	T102086
CT102091	T102091
CT102092	T102092
CT102095	T102095
CT102097	T102097
CT102099	T102099
CT102104	T102104
CT102105	T102105
CT102109	T102109
CT102112	T102112
CT102113	T102113
CT102114	T102114
CT102115	T102115
CT102117	T102117
CT102120	T102120
CT102122	T102122
CT102123	T102123
CT102124	T102124
CT102126	T102126
CT102127	T102127
CT102129	T102129
CT102131	T102131
CT102133	T102133
CT102138	T102138
CT102140	T102140
CT102142	T102142
CT102144	T102144
CT102145	T102145
CT102147	T102147
CT102149	T102149
CT102153	T102153
CT102155	T102155
CT102156	T102156
CT102158	T102158
CT102161	T102161
CT102164	T102164
CT102165	T102165
CT102166	T102166
CT102167	T102167
CT102168	T102168
CT102169	T102169
CT102170	T102170
CT102172	T102172
CT102173	T102173
CT102176	T102176
CT102180	T102180
CT102181	T102181
CT102185	T102185
CT102189	T102189
CT102191	T102191
CT102194	T102194
CT102195	T102195
CT102196	T102196
CT102199	T102199
CT102200	T102200
CT102201	T102201
CT102202	T102202
CT102203	T102203
CT102204	T102204
CT102205	T102205
CT102207	T102207
CT102209	T102209
CT102210	T102210
CT102213	T102213
CT102215	T102215
CT102218	T102218
CT102221	T102221
CT102222	T102222
CT102224	T102224
CT102227	T102227
CT102228	T102228
CT102229	T102229
CT102230	T102230
CT102232	T102232
CT102234	T102234
CT102235	T102235
CT102237	T102237
CT102239	T102239
CT102240	T102240
CT102243	T102243
CT102245	T102245
CT102247	T102247
CT102248	T102248
CT102251	T102251
CT102253	T102253
CT102256	T102256
CT102258	T102258
CT102260	T102260
CT102263	T102263
CT102266	T102266
CT102268	T102268
CT102270	T102270
CT102272	T102272
CT102274	T102274
CT102276	T102276
CT102278	T102278
CT102279	T102279
CT102280	T102280
CT102283	T102283
CT102285	T102285
CT102286	T102286
CT102287	T102287
CT102288	T102288
CT102290	T102290
CT102292	T102292
CT102295	T102295
CT102296	T102296
CT102298	T102298
CT102299	T102299
CT102301	T102301
CT102302	T102302
CT102303	T102303
CT102306	T102306
CT102308	T102308
CT102309	T102309
CT102312	T102312
CT102314	T102314
CT102316	T102316
CT102319	T102319
CT102321	T102321
CT102325	T102325
CT102327	T102327
CT102330	T102330
CT102331	T102331
CT102333	T102333
CT102335	T102335
CT102337	T102337
CT102339	T102339
CT102340	T102340
CT102341	T102341
CT102343	T102343
CT102345	T102345
CT102348	T102348
CT102350	T102350
CT102351	T102351
CT102354	T102354
CT102357	T102357
CT102358	T102358
CT102359	T102359
CT102364	T102364
CT102365	T102365
CT102366	T102366
CT102368	T102368
CT102371	T102371
CT102373	T102373
CT102374	T102374
CT102378	T102378
CT102379	T102379
CT102381	T102381
CT102382	T102382
CT102383	T102383
CT102384	T102384
CT102387	T102387
CT102388	T102388
CT102390	T102390
CT102391	T102391
CT102392	T102392
CT102396	T102396
CT102397	T102397
CT102398	T102398
CT102400	T102400
CT102401	T102401
CT102403	T102403
CT102404	T102404
CT102407	T102407
CT102408	T102408
CT102410	T102410
CT102412	T102412
CT102413	T102413
CT102417	T102417
CT102418	T102418
CT102420	T102420
CT102421	T102421
CT102423	T102423
CT102426	T102426
CT102427	T102427
CT102428	T102428
CT102432	T102432
CT102434	T102434
CT102435	T102435
CT102436	T102436
CT102438	T102438
CT102440	T102440
CT102443	T102443
CT102445	T102445
CT102446	T102446
CT102447	T102447
CT102450	T102450
CT102451	T102451
CT102453	T102453
CT102454	T102454
CT102457	T102457
CT102458	T102458
CT102459	T102459
CT102462	T102462
CT102465	T102465
CT102467	T102467
CT102468	T102468
CT102469	T102469
CT102471	T102471
CT102473	T102473
CT102474	T102474
CT102476	T102476
CT102480	T102480
CT102482	T102482
CT102485	T102485
CT102487	T102487
CT102488	T102488
CT102489	T102489
CT102491	T102491
CT102492	T102492
CT102493	T102493
CT102494	T102494
CT102496	T102496
CT102497	T102497
CT102498	T102498
CT102499	T102499
CT102501	T102501
CT102503	T102503
CT102504	T102504
CT102507	T102507
CT102509	T102509
CT102511	T102511
CT102513	T102513
CT102515	T102515
CT102517	T102517
CT102519	T102519
CT102520	T102520
CT102522	T102522
CT102525	T102525
CT102527	T102527
CT102528	T102528
CT102530	T102530
CT102531	T102531
CT102532	T102532
CT102535	T102535
CT102536	T102536
CT102539	T102539
CT102541	T102541
CT102544	T102544
CT102548	T102548
CT102550	T102550
CT102551	T102551
CT102556	T102556
CT102557	T102557
CT102559	T102559
CT102560	T102560
CT102561	T102561
CT102563	T102563
CT102565	T102565
CT102566	T102566
CT102567	T102567
CT102569	T102569
CT102570	T102570
CT102571	T102571
CT102573	T102573
CT102575	T102575
CT102576	T102576
CT102577	T102577
CT102578	T102578
CT102579	T102579
CT102582	T102582
CT102583	T102583
CT102584	T102584
CT102587	T102587
CT102589	T102589
CT102590	T102590
CT102591	T102591
CT102592	T102592
CT102594	T102594
CT102597	T102597
CT102598	T102598
CT102600	T102600
CT102603	T102603
CT102605	T102605
CT102606	T102606
CT102608	T102608
CT102610	T102610
CT102612	T102612
CT102614	T102614
CT102615	T102615
CT102617	T102617
CT102620	T102620
CT102621	T102621
CT102623	T102623
CT102624	T102624
CT102626	T102626
CT102628	T102628
CT102629	T102629
CT102630	T102630
CT102631	T102631
CT102633	T102633
CT102635	T102635
CT102639	T102639
CT102641	T102641
CT102642	T102642
CT102643	T102643
CT102644	T102644
CT102645	T102645
CT102647	T102647
CT102648	T102648
CT102650	T102650
CT102653	T102653
CT102655	T102655
CT102656	T102656
CT102657	T102657
CT102658	T102658
CT102660	T102660
CT102662	T102662
CT102663	T102663
CT102664	T102664
CT102667	T102667
CT102668	T102668
CT102669	T102669
CT102670	T102670
CT102674	T102674
CT102676	T102676
CT102677	T102677
CT102678	T102678
CT102680	T102680
CT102682	T102682
CT102684	T102684
CT102687	T102687
CT102688	T102688
CT102691	T102691
CT102693	T102693
CT102695	T102695
CT102696	T102696
CT102698	T102698
CT102701	T102701
CT102703	T102703
CT102705	T102705
CT102708	T102708
CT102709	T102709
CT102710	T102710
CT102712	T102712
CT102715	T102715
CT102716	T102716
CT102717	T102717
CT102720	T102720
CT102725	T102725
CT102726	T102726
CT102729	T102729
CT102730	T102730
CT102731	T102731
CT102732	T102732
CT102733	T102733
CT102735	T102735
CT102736	T102736
CT102737	T102737
CT102739	T102739
CT102740	T102740
CT102741	T102741
CT102742	T102742
CT102744	T102744
CT102747	T102747
CT102749	T102749
CT102750	T102750
CT102751	T102751
CT102753	T102753
CT102754	T102754
CT102760	T102760
CT102763	T102763
CT102765	T102765
CT102768	T102768
CT102770	T102770
CT102771	T102771
CT102773	T102773
CT102775	T102775
CT102776	T102776
CT102778	T102778
CT102779	T102779
CT102783	T102783
CT102785	T102785
CT102789	T102789
CT102790	T102790
CT102791	T102791
CT102792	T102792
CT102793	T102793
CT102794	T102794
CT102796	T102796
CT102799	T102799
CT102802	T102802
CT102804	T102804
CT102806	T102806
CT102810	T102810
CT102812	T102812
CT102816	T102816
CT102817	T102817
CT102820	T102820
CT102822	T102822
CT102824	T102824
CT102826	T102826
CT102827	T102827
CT102829	T102829
CT102830	T102830
CT102831	T102831
