occurrenceID	taxonID
CT101498	T101498
CT101500	T101500
CT101502	T101502
CT101503	T101503
CT101504	T101504
CT101507	T101507
CT101509	T101509
CT101510	T101510
CT101511	T101511
CT101512	T101512
CT101513	T101513
CT101515	T101515
CT101522	T101522
CT101525	T101525
CT101526	T101526
CT101529	T101529
CT101530	T101530
CT101531	T101531
CT101532	T101532
CT101534	T101534
CT101537	T101537
CT101539	T101539
CT101542	T101542
CT101543	T101543
CT101544	T101544
CT101545	T101545
CT101546	T101546
CT101548	T101548
CT101549	T101549
CT101553	T101553
CT101556	T101556
CT101557	T101557
CT101559	T101559
CT101562	T101562
CT101564	T101564
CT101565	T101565
CT101566	T101566
CT101569	T101569
CT101570	T101570
CT101573	T101573
CT101575	T101575
CT101578	T101578
CT101579	T101579
CT101583	T101583
CT101586	T101586
CT101588	T101588
CT101592	T101592
CT101593	T101593
CT101594	T101594
CT101596	T101596
CT101599	T101599
CT101602	T101602
CT101603	T101603
CT101604	T101604
CT101607	T101607
CT101608	T101608
CT101610	T101610
CT101611	T101611
CT101613	T101613
CT101616	T101616
CT101618	T101618
CT101620	T101620
CT101622	T101622
CT101623	T101623
CT101625	T101625
CT101628	T101628
CT101630	T101630
CT101633	T101633
CT101635	T101635
CT101636	T101636
CT101640	T101640
CT101641	T101641
CT101643	T101643
CT101644	T101644
CT101646	T101646
CT101648	T101648
CT101649	T101649
CT101651	T101651
CT101654	T101654
CT101656	T101656
CT101657	T101657
CT101658	T101658
CT101661	T101661
CT101662	T101662
CT101665	T101665
CT101668	T101668
CT101669	T101669
CT101670	T101670
CT101672	T101672
CT101673	T101673
CT101675	T101675
CT101677	T101677
CT101680	T101680
CT101682	T101682
CT101684	T101684
CT101685	T101685
CT101688	T101688
CT101689	T101689
CT101690	T101690
CT101692	T101692
CT101694	T101694
CT101696	T101696
CT101699	T101699
CT101700	T101700
CT101701	T101701
CT101702	T101702
CT101704	T101704
CT101707	T101707
CT101709	T101709
CT101711	T101711
CT101712	T101712
CT101714	T101714
CT101716	T101716
CT101720	T101720
CT101721	T101721
CT101723	T101723
CT101726	T101726
CT101727	T101727
CT101728	T101728
CT101729	T101729
CT101734	T101734
CT101737	T101737
CT101739	T101739
CT101741	T101741
CT101743	T101743
