occurrenceID	taxonID
CT101312	T101312
CT101315	T101315
CT101316	T101316
CT101317	T101317
CT101318	T101318
CT101323	T101323
CT101325	T101325
CT101330	T101330
CT101336	T101336
CT101337	T101337
CT101339	T101339
CT101340	T101340
CT101341	T101341
CT101343	T101343
CT101345	T101345
CT101348	T101348
CT101351	T101351
CT101352	T101352
CT101354	T101354
CT101356	T101356
CT101357	T101357
CT101359	T101359
CT101360	T101360
CT101364	T101364
CT101366	T101366
CT101368	T101368
CT101372	T101372
CT101374	T101374
CT101375	T101375
CT101377	T101377
CT101379	T101379
CT101383	T101383
CT101384	T101384
CT101385	T101385
CT101387	T101387
CT101388	T101388
CT101390	T101390
CT101391	T101391
CT101394	T101394
CT101395	T101395
CT101396	T101396
CT101398	T101398
CT101400	T101400
CT101403	T101403
CT101404	T101404
CT101405	T101405
CT101406	T101406
CT101409	T101409
CT101410	T101410
CT101411	T101411
CT101413	T101413
CT101414	T101414
CT101417	T101417
CT101418	T101418
CT101419	T101419
CT101421	T101421
CT101425	T101425
CT101426	T101426
CT101429	T101429
CT101430	T101430
CT101432	T101432
CT101435	T101435
CT101436	T101436
CT101437	T101437
CT101438	T101438
CT101441	T101441
CT101444	T101444
CT101446	T101446
CT101448	T101448
CT101449	T101449
CT101451	T101451
CT101454	T101454
CT101457	T101457
CT101458	T101458
CT101459	T101459
CT101461	T101461
CT101463	T101463
CT101464	T101464
CT101467	T101467
CT101469	T101469
CT101470	T101470
CT101475	T101475
CT101476	T101476
CT101479	T101479
CT101481	T101481
CT101483	T101483
CT101484	T101484
CT101486	T101486
CT101487	T101487
CT101489	T101489
CT101491	T101491
CT101494	T101494
CT101496	T101496
CT101499	T101499
CT101501	T101501
CT101504	T101504
CT101506	T101506
CT101508	T101508
CT101509	T101509
CT101511	T101511
CT101513	T101513
CT101515	T101515
CT101519	T101519
CT101520	T101520
CT101521	T101521
CT101522	T101522
CT101523	T101523
CT101524	T101524
CT101525	T101525
CT101526	T101526
CT101527	T101527
CT101529	T101529
CT101530	T101530
CT101532	T101532
CT101534	T101534
CT101536	T101536
CT101537	T101537
CT101539	T101539
CT101541	T101541
CT101543	T101543
CT101545	T101545
CT101546	T101546
CT101547	T101547
CT101550	T101550
CT101555	T101555
CT101559	T101559
CT101560	T101560
CT101562	T101562
CT101563	T101563
CT101565	T101565
CT101566	T101566
CT101567	T101567
CT101569	T101569
CT101570	T101570
CT101571	T101571
CT101572	T101572
CT101574	T101574
CT101575	T101575
CT101577	T101577
CT101579	T101579
CT101581	T101581
CT101582	T101582
CT101584	T101584
CT101585	T101585
CT101586	T101586
CT101587	T101587
CT101589	T101589
CT101591	T101591
CT101593	T101593
CT101594	T101594
CT101595	T101595
CT101598	T101598
CT101600	T101600
CT101602	T101602
CT101604	T101604
CT101605	T101605
CT101606	T101606
CT101607	T101607
CT101608	T101608
CT101610	T101610
