occurrenceID	taxonID
CT101003	T101003
CT101004	T101004
CT101006	T101006
CT101007	T101007
CT101008	T101008
CT101009	T101009
CT101012	T101012
CT101014	T101014
CT101015	T101015
CT101017	T101017
CT101020	T101020
CT101021	T101021
CT101023	T101023
CT101025	T101025
CT101027	T101027
CT101029	T101029
CT101033	T101033
CT101034	T101034
CT101035	T101035
CT101036	T101036
CT101038	T101038
CT101039	T101039
CT101040	T101040
CT101044	T101044
CT101048	T101048
CT101049	T101049
CT101051	T101051
CT101053	T101053
CT101055	T101055
CT101058	T101058
CT101062	T101062
CT101064	T101064
CT101066	T101066
CT101068	T101068
CT101069	T101069
CT101070	T101070
CT101073	T101073
CT101075	T101075
CT101078	T101078
CT101082	T101082
CT101086	T101086
CT101088	T101088
CT101089	T101089
CT101091	T101091
CT101094	T101094
CT101096	T101096
CT101098	T101098
CT101100	T101100
CT101101	T101101
CT101103	T101103
CT101104	T101104
CT101107	T101107
CT101109	T101109
CT101113	T101113
CT101115	T101115
CT101117	T101117
CT101120	T101120
CT101122	T101122
CT101123	T101123
CT101126	T101126
CT101128	T101128
CT101129	T101129
CT101131	T101131
CT101133	T101133
CT101134	T101134
CT101136	T101136
CT101138	T101138
CT101139	T101139
CT101140	T101140
CT101141	T101141
CT101143	T101143
CT101144	T101144
CT101145	T101145
CT101148	T101148
CT101149	T101149
CT101151	T101151
CT101154	T101154
CT101156	T101156
CT101158	T101158
CT101161	T101161
CT101162	T101162
CT101164	T101164
CT101165	T101165
CT101167	T101167
CT101168	T101168
CT101169	T101169
CT101170	T101170
CT101171	T101171
CT101172	T101172
CT101176	T101176
CT101177	T101177
CT101179	T101179
CT101181	T101181
CT101183	T101183
CT101186	T101186
CT101188	T101188
CT101190	T101190
CT101191	T101191
CT101195	T101195
CT101196	T101196
CT101199	T101199
CT101201	T101201
CT101202	T101202
CT101204	T101204
CT101205	T101205
CT101206	T101206
CT101207	T101207
CT101208	T101208
CT101209	T101209
CT101210	T101210
CT101211	T101211
CT101212	T101212
CT101213	T101213
CT101214	T101214
CT101217	T101217
CT101218	T101218
CT101220	T101220
CT101221	T101221
CT101222	T101222
CT101225	T101225
CT101227	T101227
CT101228	T101228
CT101229	T101229
CT101231	T101231
CT101233	T101233
CT101235	T101235
CT101236	T101236
